0;Сегодня на улице ясная погода.
0;Вчера мы ходили в магазин.
0;На кухне стояли чистые тарелки.
0;Он читал книгу весь вечер.
0;В комнате было много света.
0;Мы обсуждали планы на выходные.
0;На улице было тихо.
0;Он выпил стакан воды.
0;Собака лежала на коврике.
0;Письмо пришло по почте.
0;Сегодня обычный рабочий день.
0;Вчера было прохладно.
0;Я иду на работу с утра.
0;На улице светит солнце.
0;Книга лежит на полке.
0;Завтра будет дождь.
0;Я читаю газету по утрам.
0;Вечером будут новости.
0;Вода в реке чистая.
0;Я заказал еду на дом.
0;Мы живем в большом городе.
0;В магазине много товаров.
0;На столе стоит ваза с цветами.
0;Я пил чай с лимоном.
0;Автобус пришел вовремя.
0;В кинотеатре показывают новый фильм.
0;Я написал отчет.
0;В парке много деревьев.
0;Сегодня понедельник.
0;Я ношу очки для чтения.
0;Кошка спит на диване.
0;Вечером я смотрю телевизор.
0;Я купил новый телефон.
0;На улице идут ремонтные работы.
0;У меня есть велосипед.
0;Мы играли в шахматы.
0;Я полил цветы.
0;Заправил машину бензином.
0;На улице прохладно.
0;Я работаю в офисе.
0;Вчера шел дождь.
0;Я купил продукты в магазине.
0;Утром пробежался по парку.
0;Машина стояла на парковке.
0;Я посмотрел новый сериал.
0;У меня есть ноутбук.
0;Мы ели ужин дома.
0;Я отправил письмо по почте.
0;В библиотеке много книг.
0;Я взял выходной на работе.
0;На кухне есть стол и стулья.
0;Я учусь программированию.
0;Мы пошли в кафе.
0;На рабочем столе лежат документы.
0;У меня есть абонемент в спортзал.
0;Сегодня вторник.
0;Я сделал уборку дома.
0;Книга была интересная.
0;Я увидел афишу нового фильма.
0;В машине играет музыка.
0;Утром я делаю зарядку.
0;Мы ездили на экскурсию.
0;Вечером читал книгу.
0;Я установил новое приложение.
0;На улице лежит снег.
0;Мне нужна новая куртка.
0;Я записал важную встречу в календарь.
0;Дети играют во дворе.
0;В магазине была акция.
0;Я смотрел новости по телевизору.
0;У меня есть уютное кресло.
0;Мы обсуждали проекты на собрании.
0;Я прочитал статью в журнале.
0;Дома я смотрю фильмы.
0;Я сделал фотографии природы.
0;Сегодня будет обед в ресторане.
0;Я занимаюсь йогой.
0;На столе стоит компьютер.
0;Я принял душ утром.
0;У меня новая книга.
0;Мы собираемся на прогулку.
0;На обед был суп и салат.
0;Вечером я смотрел футбол.
0;У меня есть зарядное устройство.
0;Я оделся по погоде.
0;Дети пошли в школу.
0;В школе много учеников.
0;У меня есть коллекция марок.
0;Сегодня будет занятие по английскому.
0;Я записал номер телефона.
0;В этом году было много праздников.
0;Я завтракал овсянкой.
0;Мы пили кофе в кафе.
0;У меня есть паспорт.
0;Сегодня солнечная погода.
0;Я полил цветы в саду.
0;Машина стоит в гараже.
0;Я сверил расписание поездов.
0;Мы обсуждали планы на выходные.
0;В офисе было совещание.
0;На обеденный перерыв я вышел на улицу.
0;Вечером я слушал музыку.
0;Я обновил программное обеспечение.
0;У меня есть свитер.
0;Мы играли в настольные игры.
0;Сегодня я работаю из дома.
0;На кухне готовится ужин.
0;Я зашел в аптеку.
0;В библиотеке тихо.
0;У меня есть смартфон.
0;Мы ели пиццу.
0;На улице дует ветер.
0;Я записался на курсы.
0;Сегодня я прочитал интересную статью.
0;В парке было много людей.
0;Я собирался в магазин.
0;На столе стоит лампа.
0;Сегодня суббота.
0;Я пользуюсь интернетом.
0;Мы гуляли по городу.
0;У меня есть часы.
0;Я прочитал новый роман.
0;Дети пошли в парк развлечений.
0;Сегодня я встретил старого друга.
0;На кухне готовлю ужин.
0;Я купил новый блокнот.
0;На улице идет дождь.
0;Я участвовал в вебинаре.
0;Вечером смотрел документальный фильм.
0;Я записал адрес в блокнот.
0;В саду растут яблоки.
0;Сегодня я убирался в гараже.
0;Я услышал новую песню по радио.
0;На работу я еду на автобусе.
0;Мы обсудили план работы.
0;Вечером я отдыхаю дома.
0;Я подписался на рассылку.
0;У меня есть настольная лампа.
0;Мы играли в футбольный матч.
0;Сегодня я работаю над проектом.
0;На улицах идет строительство.
0;У меня есть ключи от дома.
0;Я начал изучать новый язык.
0;Сегодня пасмурная погода.
0;Я заказал книгу онлайн.
0;Вечером я пойду на прогулку.
0;Я посмотрел новый сезон сериала.
0;На кухне есть холодильник.
0;Мы обедали на летней террасе.
0;Я прочитал статью о здоровье.
0;У нас в квартире новые занавески.
0;Сегодня я написал несколько писем.
0;Я подписался на журнал.
0;Вечером я был у врача.
0;Я привел друзей в гости.
0;У нас новый коврик в прихожей.
0;Сегодня я ходил в спортзал.
0;Я купил новый рюкзак.
0;В нашем доме идет ремонт.
0;Я посетил новый музей.
0;Мы зашли в кафе на углу.
0;Вечером я смотрел новости.
0;Я обновил компьютерное программное обеспечение.
0;Сегодня был интересный семинар.
0;Я купил новый велосипед.
0;На улице я встретил соседа.
